#         t          x          y          z         vx         vy         vz
      7.540    430.522   -179.340    115.088    -36.584    -33.817    -40.822
      7.550    430.155   -179.678    114.680    -36.874    -33.697    -40.900
      7.560    429.784   -180.014    114.270    -37.163    -33.576    -40.977
      7.570    429.411   -180.350    113.860    -37.453    -33.455    -41.054
      7.580    429.035   -180.683    113.449    -37.743    -33.333    -41.132
      7.590    428.656   -181.016    113.038    -38.034    -33.210    -41.209
      7.600    428.275   -181.348    112.625    -38.324    -33.088    -41.285
      7.610    427.890   -181.678    112.212    -38.615    -32.964    -41.362
      7.620    427.502   -182.007    111.798    -38.906    -32.841    -41.439
      7.630    427.112   -182.335    111.383    -39.198    -32.717    -41.515
      7.640    426.718   -182.661    110.968    -39.490    -32.592    -41.592
      7.650    426.322   -182.987    110.551    -39.782    -32.467    -41.668
      7.660    425.923   -183.311    110.134    -40.074    -32.342    -41.744
      7.670    425.520   -183.633    109.717    -40.367    -32.216    -41.820
      7.680    425.115   -183.955    109.298    -40.660    -32.089    -41.896
      7.690    424.707   -184.275    108.879    -40.953    -31.962    -41.971
      7.700    424.296   -184.594    108.459    -41.246    -31.835    -42.047
      7.710    423.882   -184.912    108.038    -41.540    -31.707    -42.122
      7.720    423.465   -185.228    107.616    -41.834    -31.579    -42.197
      7.730    423.046   -185.543    107.194    -42.129    -31.450    -42.272
      7.740    422.623   -185.857    106.771    -42.424    -31.321    -42.347
      7.750    422.197   -186.170    106.347    -42.719    -31.191    -42.422
      7.760    421.769   -186.481    105.922    -43.014    -31.061    -42.497
      7.770    421.337   -186.791    105.497    -43.310    -30.930    -42.571
      7.780    420.902   -187.100    105.071    -43.606    -30.799    -42.646
      7.790    420.465   -187.407    104.644    -43.902    -30.667    -42.720
      7.800    420.024   -187.713    104.216    -44.199    -30.535    -42.794
      7.810    419.581   -188.018    103.788    -44.496    -30.402    -42.868
      7.820    419.134   -188.321    103.359    -44.793    -30.269    -42.942
      7.830    418.685   -188.623    102.929    -45.091    -30.135    -43.015
      7.840    418.233   -188.924    102.499    -45.389    -30.001    -43.089
      7.850    417.777   -189.223    102.067    -45.687    -29.866    -43.162
      7.860    417.319   -189.521    101.635    -45.986    -29.731    -43.236
      7.870    416.857   -189.818    101.203    -46.285    -29.595    -43.309
      7.880    416.393   -190.113    100.769    -46.584    -29.459    -43.382
      7.890    415.926   -190.407    100.335    -46.884    -29.322    -43.454
      7.900    415.455   -190.699     99.900    -47.184    -29.184    -43.527
      7.910    414.982   -190.991     99.465    -47.485    -29.047    -43.600
      7.920    414.506   -191.280     99.028    -47.785    -28.908    -43.672
      7.930    414.026   -191.569     98.591    -48.087    -28.769    -43.744
      7.940    413.544   -191.856     98.153    -48.388    -28.630    -43.816
      7.950    413.059   -192.141     97.715    -48.690    -28.489    -43.888
      7.960    412.570   -192.426     97.276    -48.993    -28.349    -43.960
      7.970    412.079   -192.708     96.836    -49.295    -28.208    -44.032
      7.980    411.584   -192.990     96.395    -49.598    -28.066    -44.103
      7.990    411.087   -193.270     95.954    -49.902    -27.924    -44.174
      8.000    410.586   -193.548     95.511    -50.206    -27.781    -44.246
      8.010    410.083   -193.825     95.069    -50.510    -27.637    -44.317
      8.020    409.576   -194.101     94.625    -50.815    -27.493    -44.388
      8.030    409.066   -194.375     94.181    -51.120    -27.349    -44.458
      8.040    408.554   -194.648     93.736    -51.425    -27.203    -44.529
      8.050    408.038   -194.919     93.290    -51.731    -27.058    -44.599
      8.060    407.519   -195.189     92.844    -52.038    -26.911    -44.670
      8.070    406.997   -195.457     92.397    -52.344    -26.765    -44.740
      8.080    406.472   -195.724     91.949    -52.651    -26.617    -44.810
      8.090    405.944   -195.990     91.501    -52.959    -26.469    -44.880
      8.100    405.413   -196.254     91.052    -53.267    -26.320    -44.949
      8.110    404.879   -196.516     90.602    -53.575    -26.171    -45.019
      8.120    404.341   -196.777     90.151    -53.884    -26.021    -45.088
      8.130    403.801   -197.037     89.700    -54.193    -25.871    -45.158
      8.140    403.258   -197.295     89.248    -54.503    -25.719    -45.227
      8.150    402.711   -197.551     88.795    -54.813    -25.568    -45.296
      8.160    402.161   -197.806     88.342    -55.124    -25.415    -45.364
      8.170    401.609   -198.059     87.888    -55.435    -25.262    -45.433
      8.180    401.053   -198.311     87.433    -55.747    -25.109    -45.501
      8.190    400.494   -198.561     86.978    -56.059    -24.954    -45.570
      8.200    399.931   -198.810     86.522    -56.371    -24.799    -45.638
      8.210    399.366   -199.057     86.065    -56.684    -24.644    -45.706
      8.220    398.798   -199.303     85.608    -56.997    -24.488    -45.774
      8.230    398.226   -199.547     85.150    -57.311    -24.331    -45.841
      8.240    397.652   -199.790     84.691    -57.625    -24.173    -45.909
      8.250    397.074   -200.031     84.232    -57.940    -24.015    -45.976
      8.260    396.493   -200.270     83.772    -58.256    -23.856    -46.043
      8.270    395.909   -200.508     83.311    -58.571    -23.697    -46.110
      8.280    395.321   -200.744     82.849    -58.888    -23.537    -46.177
      8.290    394.731   -200.979     82.387    -59.204    -23.376    -46.244
      8.300    394.137   -201.211     81.925    -59.522    -23.214    -46.310
      8.310    393.540   -201.443     81.461    -59.839    -23.052    -46.377
      8.320    392.940   -201.673     80.997    -60.158    -22.889    -46.443
      8.330    392.337   -201.901     80.532    -60.477    -22.725    -46.509
      8.340    391.731   -202.127     80.067    -60.796    -22.561    -46.575
      8.350    391.121   -202.352     79.601    -61.116    -22.396    -46.640
      8.360    390.509   -202.575     79.134    -61.436    -22.230    -46.706
      8.370    389.893   -202.796     78.667    -61.757    -22.064    -46.771
      8.380    389.273   -203.016     78.199    -62.078    -21.897    -46.836
      8.390    388.651   -203.234     77.730    -62.400    -21.729    -46.901
      8.400    388.025   -203.451     77.261    -62.723    -21.560    -46.966
      8.410    387.397   -203.666     76.791    -63.046    -21.391    -47.031
      8.420    386.764   -203.879     76.320    -63.370    -21.221    -47.095
      8.430    386.129   -204.090     75.849    -63.694    -21.050    -47.160
      8.440    385.491   -204.300     75.377    -64.018    -20.878    -47.224
      8.450    384.849   -204.507     74.904    -64.344    -20.706    -47.288
      8.460    384.204   -204.714     74.431    -64.670    -20.533    -47.351
      8.470    383.555   -204.918     73.957    -64.996    -20.359    -47.415
      8.480    382.904   -205.121     73.483    -65.323    -20.184    -47.478
      8.490    382.249   -205.322     73.008    -65.651    -20.008    -47.541
      8.500    381.591   -205.521     72.532    -65.979    -19.832    -47.604
      8.510    380.929   -205.718     72.055    -66.308    -19.655    -47.667
      8.520    380.265   -205.914     71.579    -66.637    -19.477    -47.730
      8.530    379.597   -206.108     71.101    -66.967    -19.299    -47.792
      8.540    378.925   -206.300     70.623    -67.298    -19.119    -47.855
      8.550    378.251   -206.490     70.144    -67.629    -18.939    -47.917
      8.560    377.573   -206.679     69.664    -67.961    -18.758    -47.978
      8.570    376.891   -206.866     69.184    -68.293    -18.576    -48.040
      8.580    376.207   -207.050     68.704    -68.626    -18.393    -48.102
      8.590    375.519   -207.233     68.222    -68.960    -18.209    -48.163
      8.600    374.828   -207.415     67.740    -69.294    -18.025    -48.224
      8.610    374.133   -207.594     67.258    -69.629    -17.839    -48.285
      8.620    373.435   -207.771     66.775    -69.965    -17.653    -48.345
      8.630    372.734   -207.947     66.291    -70.301    -17.466    -48.406
      8.640    372.029   -208.121     65.806    -70.638    -17.278    -48.466
      8.650    371.321   -208.292     65.322    -70.975    -17.089    -48.526
      8.660    370.610   -208.462     64.836    -71.314    -16.899    -48.586
      8.670    369.895   -208.630     64.350    -71.652    -16.709    -48.646
      8.680    369.176   -208.797     63.863    -71.992    -16.517    -48.705
      8.690    368.455   -208.961     63.376    -72.332    -16.325    -48.764
      8.700    367.730   -209.123     62.888    -72.673    -16.132    -48.823
      8.710    367.001   -209.283     62.399    -73.015    -15.937    -48.882
      8.720    366.270   -209.442     61.910    -73.357    -15.742    -48.941
      8.730    365.534   -209.598     61.420    -73.700    -15.546    -48.999
      8.740    364.796   -209.753     60.930    -74.044    -15.349    -49.057
      8.750    364.053   -209.905     60.439    -74.389    -15.151    -49.115
      8.760    363.308   -210.056     59.948    -74.734    -14.952    -49.173
      8.770    362.559   -210.204     59.456    -75.080    -14.752    -49.230
      8.780    361.806   -210.351     58.963    -75.426    -14.551    -49.287
      8.790    361.050   -210.495     58.470    -75.774    -14.349    -49.344
      8.800    360.291   -210.638     57.976    -76.122    -14.146    -49.401
      8.810    359.528   -210.778     57.482    -76.471    -13.942    -49.457
      8.820    358.761   -210.917     56.987    -76.820    -13.737    -49.514
      8.830    357.991   -211.053     56.492    -77.171    -13.531    -49.570
      8.840    357.218   -211.187     55.996    -77.522    -13.324    -49.625
      8.850    356.441   -211.319     55.499    -77.874    -13.116    -49.681
      8.860    355.660   -211.449     55.002    -78.226    -12.907    -49.736
      8.870    354.876   -211.578     54.505    -78.580    -12.696    -49.791
      8.880    354.089   -211.703     54.006    -78.934    -12.485    -49.846
      8.890    353.298   -211.827     53.508    -79.289    -12.273    -49.901
      8.900    352.503   -211.949     53.008    -79.645    -12.060    -49.955
      8.910    351.705   -212.068     52.509    -80.002    -11.845    -50.009
      8.920    350.903   -212.186     52.008    -80.359    -11.630    -50.063
      8.930    350.098   -212.301     51.507    -80.718    -11.413    -50.116
      8.940    349.289   -212.414     51.006    -81.077    -11.195    -50.169
      8.950    348.476   -212.525     50.504    -81.437    -10.976    -50.222
      8.960    347.660   -212.634     50.001    -81.798    -10.756    -50.275
      8.970    346.840   -212.740     49.498    -82.159    -10.535    -50.327
      8.980    346.017   -212.844     48.995    -82.522    -10.313    -50.379
      8.990    345.190   -212.946     48.491    -82.885    -10.089    -50.431
      9.000    344.359   -213.046     47.986    -83.249     -9.864    -50.483
      9.010    343.525   -213.144     47.481    -83.615     -9.638    -50.534
      9.020    342.687   -213.239     46.976    -83.981     -9.411    -50.585
      9.030    341.845   -213.332     46.469    -84.347     -9.183    -50.636
      9.040    341.000   -213.422     45.963    -84.715     -8.954    -50.686
      9.050    340.151   -213.511     45.456    -85.084     -8.723    -50.736
      9.060    339.298   -213.597     44.948    -85.454     -8.491    -50.786
      9.070    338.442   -213.681     44.440    -85.824     -8.258    -50.836
      9.080    337.582   -213.762     43.931    -86.196     -8.023    -50.885
      9.090    336.718   -213.841     43.422    -86.568     -7.787    -50.934
      9.100    335.850   -213.918     42.913    -86.941     -7.550    -50.982
      9.110    334.979   -213.992     42.403    -87.316     -7.312    -51.030
      9.120    334.104   -214.064     41.892    -87.691     -7.072    -51.078
      9.130    333.225   -214.133     41.381    -88.067     -6.831    -51.126
      9.140    332.343   -214.201     40.870    -88.444     -6.589    -51.173
      9.150    331.456   -214.265     40.358    -88.822     -6.345    -51.220
      9.160    330.566   -214.327     39.845    -89.201     -6.100    -51.267
      9.170    329.672   -214.387     39.332    -89.581     -5.853    -51.313
      9.180    328.774   -214.445     38.819    -89.963     -5.605    -51.359
      9.190    327.873   -214.499     38.305    -90.345     -5.356    -51.404
      9.200    326.968   -214.552     37.791    -90.728     -5.106    -51.450
      9.210    326.058   -214.601     37.276    -91.112     -4.854    -51.495
      9.220    325.145   -214.649     36.761    -91.497     -4.600    -51.539
      9.230    324.228   -214.693     36.245    -91.883     -4.345    -51.583
      9.240    323.308   -214.736     35.729    -92.271     -4.089    -51.627
      9.250    322.383   -214.775     35.213    -92.659     -3.831    -51.670
      9.260    321.454   -214.812     34.696    -93.049     -3.571    -51.713
      9.270    320.522   -214.847     34.179    -93.439     -3.310    -51.756
      9.280    319.586   -214.878     33.661    -93.831     -3.048    -51.798
      9.290    318.645   -214.908     33.143    -94.223     -2.784    -51.840
      9.300    317.701   -214.934     32.624    -94.617     -2.518    -51.881
      9.310    316.753   -214.958     32.105    -95.012     -2.251    -51.922
      9.320    315.801   -214.979     31.586    -95.408     -1.982    -51.963
      9.330    314.845   -214.998     31.066    -95.805     -1.712    -52.003
      9.340    313.885   -215.013     30.546    -96.203     -1.440    -52.043
      9.350    312.921   -215.026     30.025    -96.603     -1.166    -52.082
      9.360    311.953   -215.037     29.504    -97.003     -0.891    -52.121
      9.370    310.981   -215.044     28.982    -97.405     -0.614    -52.160
      9.380    310.005   -215.049     28.461    -97.808     -0.335    -52.198
      9.390    309.025   -215.051     27.939    -98.212     -0.055    -52.235
      9.400    308.040   -215.050     27.416    -98.617      0.227    -52.272
      9.410    307.052   -215.046     26.893    -99.024      0.511    -52.309
      9.420    306.060   -215.040     26.370    -99.432      0.796    -52.345
      9.430    305.064   -215.030     25.846    -99.841      1.084    -52.381
      9.440    304.063   -215.018     25.322   -100.251      1.373    -52.416
      9.450    303.059   -215.003     24.798   -100.662      1.664    -52.451
      9.460    302.050   -214.985     24.273   -101.075      1.956    -52.485
      9.470    301.037   -214.964     23.748   -101.489      2.251    -52.519
      9.480    300.020   -214.940     23.223   -101.904      2.548    -52.553
      9.490    298.999   -214.913     22.697   -102.321      2.846    -52.585
      9.500    297.974   -214.883     22.171   -102.738      3.146    -52.618
      9.510    296.944   -214.850     21.645   -103.158      3.448    -52.649
      9.520    295.910   -214.814     21.118   -103.578      3.753    -52.680
      9.530    294.873   -214.775     20.591   -104.000      4.059    -52.711
      9.540    293.830   -214.733     20.064   -104.423      4.367    -52.741
      9.550    292.784   -214.687     19.536   -104.847      4.677    -52.771
      9.560    291.734   -214.639     19.008   -105.273      4.989    -52.800
      9.570    290.679   -214.588     18.480   -105.700      5.304    -52.828
      9.580    289.620   -214.533     17.952   -106.129      5.620    -52.856
      9.590    288.556   -214.475     17.423   -106.559      5.939    -52.883
      9.600    287.488   -214.414     16.894   -106.990      6.259    -52.910
      9.610    286.416   -214.350     16.365   -107.423      6.582    -52.936
      9.620    285.340   -214.283     15.836   -107.857      6.907    -52.961
      9.630    284.259   -214.212     15.306   -108.293      7.234    -52.986
      9.640    283.174   -214.138     14.776   -108.730      7.563    -53.010
      9.650    282.085   -214.061     14.246   -109.168      7.895    -53.034
      9.660    280.991   -213.980     13.715   -109.609      8.229    -53.056
      9.670    279.892   -213.896     13.184   -110.050      8.565    -53.079
      9.680    278.790   -213.809     12.654   -110.493      8.904    -53.100
      9.690    277.682   -213.718     12.122   -110.938      9.245    -53.121
      9.700    276.571   -213.624     11.591   -111.384      9.588    -53.141
      9.710    275.455   -213.526     11.060   -111.832      9.934    -53.160
      9.720    274.334   -213.425     10.528   -112.281     10.282    -53.179
      9.730    273.209   -213.321      9.996   -112.731     10.633    -53.197
      9.740    272.080   -213.212      9.464   -113.184     10.986    -53.214
      9.750    270.945   -213.101      8.932   -113.638     11.342    -53.231
      9.760    269.807   -212.986      8.399   -114.093     11.700    -53.246
      9.770    268.664   -212.867      7.867   -114.551     12.061    -53.261
      9.780    267.516   -212.744      7.334   -115.009     12.425    -53.275
      9.790    266.363   -212.618      6.801   -115.470     12.791    -53.289
      9.800    265.206   -212.489      6.268   -115.932     13.160    -53.301
      9.810    264.045   -212.355      5.735   -116.396     13.531    -53.313
      9.820    262.878   -212.218      5.202   -116.861     13.906    -53.323
      9.830    261.708   -212.077      4.669   -117.328     14.283    -53.333
      9.840    260.532   -211.932      4.136   -117.797     14.663    -53.342
      9.850    259.352   -211.784      3.602   -118.268     15.046    -53.351
      9.860    258.167   -211.631      3.068   -118.740     15.431    -53.358
      9.870    256.977   -211.475      2.535   -119.215     15.820    -53.364
      9.880    255.782   -211.315      2.001   -119.691     16.212    -53.370
      9.890    254.583   -211.151      1.468   -120.168     16.606    -53.374
      9.900    253.379   -210.983      0.934   -120.648     17.004    -53.377
      9.910    252.170   -210.811      0.400   -121.129     17.405    -53.380
      9.920    250.956   -210.635     -0.134   -121.612     17.809    -53.381
      9.930    249.738   -210.454     -0.668   -122.097     18.216    -53.380
      9.940    248.514   -210.270     -1.201   -122.584     18.626    -53.379
      9.950    247.286   -210.082     -1.735   -123.073     19.040    -53.376
      9.960    246.053   -209.889     -2.269   -123.564     19.457    -53.371
      9.970    244.815   -209.693     -2.803   -124.056     19.877    -53.366
      9.980    243.572   -209.492     -3.336   -124.551     20.301    -53.360
      9.990    242.324   -209.287     -3.870   -125.047     20.728    -53.352
     10.000    241.071   -209.077     -4.403   -125.546     21.158    -53.343
     10.010    239.813   -208.864     -4.937   -126.046     21.592    -53.333
